Station ID,Name,Latitude,Longitude,Number of Bikes Available
hub_602,King William at Victoria,43.254154362311304,-79.85582381486893,5
hub_603,Barton at Wentworth,43.25893246012055,-79.8449581861496,0
hub_604,Cannon at Wentworth - 96,43.2559617394464,-79.8475054418754,3
hub_605,Wentworth at King,43.25199038416551,-79.84910354018211,7
hub_606,Bay at Macaulay,43.272362258983364,-79.86627101898192,3
hub_607,Haymarket at Hughson,43.2523698048509,-79.86883386969566,6
hub_608,James at Colbourne,43.2637774120007,-79.8660421593136,7
hub_609,Ferguson at King,43.25400491861888,-79.86223563551903,7
hub_610,Cannon at Birch (Powell Park),43.25504613306136,-79.84128892421722,3
hub_611,Cannon at Sherman,43.2533992835566,-79.8374917817979,4
hub_612,Delaware at Myrtle,43.2480454302898,-79.8495236914621,0
hub_613,Maplewood at Springer,43.245150946389735,-79.83708053827286,6
hub_614,Gage Park,43.24344818701565,-79.83040988445282,1
hub_622,McMaster Emerson,43.258038792898375,-79.91978779435158,5
hub_623,McMaster Arthur Bourns,43.2599690032886,-79.922358671032,7
hub_624,McMaster Health Sciences,43.26053126154136,-79.91824820637703,6
hub_625,McMaster Mary Keyes,43.262460120020584,-79.92224670946598,14
hub_626,McMaster Stadium,43.26462232214244,-79.91868138313293,4
