Station ID,Name,Category,LatitudeB,LongitudeB,Rating
hub_540,CoCo Fresh Tea & Juice,"['Bubble Tea', 'Juice Bars & Smoothies']",43.257849,-79.9252604,5
hub_540,Boston Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.25734918,-79.92774941,3.5
hub_540,Tally Ho,"['Burgers', 'Fast Food', 'Sandwiches']",43.2577726,-79.9240784,4
hub_540,Mr  Gao,['Chinese'],43.25740112,-79.92817005,3.5
hub_540,Maple Leaf Pancake House,['Breakfast & Brunch'],43.25788,-79.92354,2.5
hub_540,Dough Box,"['Pizza', 'Italian']",43.2574167,-79.9239487,4
hub_540,East Meets West Bistro,['Canadian (New)'],43.26248256,-79.92286111,2.5
hub_540,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2
hub_541,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5
hub_541,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4
hub_541,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5
hub_541,Chung Chun Rice Hot Dog,"['Korean', 'Hot Dogs']",43.26130144,-79.90695808,5
hub_541,OneZo Tapioca,['Bubble Tea'],43.26134456,-79.90691151,4
hub_541,The Alley,['Bubble Tea'],43.26164,-79.90714,5
hub_541,Cupcakes,['Bakeries'],43.26164,-79.90714,3.5
hub_541,Sakura Tea,['Bubble Tea'],43.25847,-79.90874,3
hub_541,Cuppa Tea,['Bubble Tea'],43.2617903,-79.9069099,4
hub_541,Charlie’s Chopsticks,"['Bubble Tea', 'Sushi Bars', 'Dumplings']",43.26136,-79.90644,5
hub_542,Bridges Cafe,"['Vegetarian', 'Cafes']",43.2628019,-79.9176086,4.5
hub_542,Teriyaki Experience,"['Japanese', 'Food Court']",43.26336764,-79.91739526,3
hub_542,Mr Sub,"['Caterers', 'Sandwiches']",43.2581599,-79.91173,5
hub_542,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5
hub_542,Porcelain Hotpot & Lounge,"['Chinese', 'Bubble Tea', 'Hot Pot']",43.25829833,-79.911011,5
hub_542,Caribbean Flavah,"['Caribbean', 'Soul Food']",43.25829,-79.91107,3
hub_542,Pho Excellent,"['Vietnamese', 'Thai', 'Noodles']",43.2582044,-79.9108457,5
hub_542,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5
hub_542,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4
hub_542,The Alley,['Bubble Tea'],43.26164,-79.90714,5
hub_543,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5
hub_543,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4
hub_543,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5
hub_543,The Alley,['Bubble Tea'],43.26164,-79.90714,5
hub_543,Cupcakes,['Bakeries'],43.26164,-79.90714,3.5
hub_543,Cuppa Tea,['Bubble Tea'],43.2617903,-79.9069099,4
hub_543,Chung Chun Rice Hot Dog,"['Korean', 'Hot Dogs']",43.26130144,-79.90695808,5
